pair_id,MQ,family,n_annotations,winner,margin,raw,order_consistent,path_A,path_B
mqp_5000002,B,S-S,3,b,-1.0,"['2', '1']",True,bench_results/bench001/M2/cosmos_super/mq_000b1d562946__cosmos_super__s42.mp4,bench_results/bench001/M3/ltx/mq_000b1d562946__ltx__s44.mp4
mqp_5000029,AA,M-S,3,a,1.0,"['1', '2']",True,bench_results/bench001/M2/cosmos_super/mq_002d7a5858b2__cosmos_super__s42.mp4,bench_results/bench001/M2/cosmos_nano/mq_002d7a5858b2__cosmos_nano__s44.mp4
mqp_5000060,BB,W-M,3,b,-1.0,"['2', '1']",True,bench_results/bench001/M3/cogvideox/mq_007d9b95eb7e__cogvideox__s42.mp4,bench_results/bench001/M2/cosmos_nano/mq_007d9b95eb7e__cosmos_nano__s44.mp4
mqp_5000063,B,W-S,3,tie,0.0,"['2', '2']",False,bench_results/bench001/M3/wan5b/mq_007d9b95eb7e__wan5b__s44.mp4,bench_results/bench001/M1/wan14b/mq_007d9b95eb7e__wan14b__s44.mp4
mqp_5000065,A,W-S,3,tie,0.0,"['2', '2']",False,bench_results/bench001/M3/ltx/mq_008347a3e636__ltx__s44.mp4,bench_results/bench001/M3/cogvideox/mq_008347a3e636__cogvideox__s44.mp4
mqp_5000073,A,M-S,3,tie,0.0,"['1', '1']",False,bench_results/bench001/N1/videos/mq_0089396f87e7__pangu__s43.mp4,bench_results/bench001/M1/wan14b/mq_0089396f87e7__wan14b__s44.mp4
mqp_5000088,same,M-M,3,a,1.0,"['1', '2']",True,bench_results/bench001/N1/videos/mq_009cf0712134__pangu__s42.mp4,bench_results/bench001/M2/cosmos_nano/mq_009cf0712134__cosmos_nano__s43.mp4
mqp_5000091,same,seed,3,b,-1.0,"['2', '1']",True,bench_results/bench001/M3/ltx/mq_009cf0712134__ltx__s42.mp4,bench_results/bench001/M3/ltx/mq_009cf0712134__ltx__s43.mp4
mqp_5000093,same,S-S,3,b,-1.0,"['2', '1']",True,bench_results/bench001/M3/ltx/mq_00a08f31a9e3__ltx__s44.mp4,bench_results/bench001/M1/wan14b/mq_00a08f31a9e3__wan14b__s43.mp4
mqp_5000094,A,seed,3,tie,0.0,"['1', '1']",False,bench_results/bench001/M2/cosmos_super/mq_00a08f31a9e3__cosmos_super__s44.mp4,bench_results/bench001/M2/cosmos_super/mq_00a08f31a9e3__cosmos_super__s42.mp4
